Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"BUS_MV_77", 12.47, 1,    6911.48,  -37.2,   0.95999, 2,    6911.48, -157.2,   0.95999, 3,    6911.48,   82.8,   0.95999
"BUS_MV_79", 12.47, 1,    6911.49,  -37.2,   0.95999, 2,    6911.49, -157.2,   0.95999, 3,    6911.49,   82.8,   0.95999
"BUS_MV_78", 12.47, 1,    6911.42,  -37.2,   0.95998, 2,    6911.42, -157.2,   0.95998, 3,    6911.42,   82.8,   0.95998
"BUS_MV_81", 12.47, 1,    6911.67,  -37.2,   0.96001, 2,    6911.67, -157.2,   0.96001, 3,    6911.67,   82.8,   0.96001
"BUS_MV_82", 12.47, 1,    6911.63,  -37.2,   0.96001, 2,    6911.63, -157.2,   0.96001, 3,    6911.63,   82.8,   0.96001
"BUS_MV_83", 12.47, 1,    6911.57,  -37.2,      0.96, 2,    6911.57, -157.2,      0.96, 3,    6911.57,   82.8,      0.96
"BUS_MV_84", 12.47, 1,    6911.53,  -37.2,   0.95999, 2,    6911.53, -157.2,   0.95999, 3,    6911.53,   82.8,   0.95999
"BUS_MV_85", 12.47, 1,    6911.52,  -37.2,   0.95999, 2,    6911.52, -157.2,   0.95999, 3,    6911.52,   82.8,   0.95999
"BUS_MV_86", 12.47, 1,     6911.5,  -37.2,   0.95999, 2,     6911.5, -157.2,   0.95999, 3,     6911.5,   82.8,   0.95999
"BUS_MV_HOMS", 12.47, 1,    7034.69,  -35.3,    0.9771, 2,    7034.69, -155.3,    0.9771, 3,    7034.69,   84.7,    0.9771
"BUS_MV_UMED", 12.47, 1,     7034.6,  -35.3,   0.97709, 2,     7034.6, -155.3,   0.97709, 3,     7034.6,   84.7,   0.97709
"BUS_LV_8", 0.24, 1,    130.996,  -71.1,   0.94538, 2,    130.996,  168.9,   0.94538, 3,    130.996,   48.9,   0.94538
"BUS_LV_9", 0.24, 1,    130.996,  -71.1,   0.94538, 2,    130.996,  168.9,   0.94538, 3,    130.996,   48.9,   0.94538
"BUS_LV_87", 0.24, 1,     130.95,  -71.1,   0.94505, 2,     130.95,  168.9,   0.94505, 3,     130.95,   48.9,   0.94505
"BUS_LV_88", 0.24, 1,    130.922,  -71.1,   0.94485, 2,    130.922,  168.9,   0.94485, 3,    130.922,   48.9,   0.94485
"BUS_LV_89", 0.24, 1,    130.895,  -71.1,   0.94466, 2,    130.895,  168.9,   0.94466, 3,    130.895,   48.9,   0.94466
"BUS_LV_90", 0.24, 1,    130.892,  -71.1,   0.94463, 2,    130.892,  168.9,   0.94463, 3,    130.892,   48.9,   0.94463
"BUS_LV_91", 0.24, 1,     130.89,  -71.1,   0.94461, 2,     130.89,  168.9,   0.94461, 3,     130.89,   48.9,   0.94461
"BUS_LV_92", 0.24, 1,    130.888,  -71.1,    0.9446, 2,    130.888,  168.9,    0.9446, 3,    130.888,   48.9,    0.9446
"BUS_LV_93", 0.24, 1,    130.885,  -71.1,   0.94458, 2,    130.885,  168.9,   0.94458, 3,    130.885,   48.9,   0.94458
"BUS_LV_94", 0.24, 1,    130.885,  -71.1,   0.94458, 2,    130.885,  168.9,   0.94458, 3,    130.885,   48.9,   0.94458
"BUS_LV_95", 69, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
